formula,energy
Ge4Mg2O12Sn2,-2.16745746125
Cr6O16,-1.3383111777272725
AlBa2Fe3O8,-2.2655463164285714
Mg2Mo3O8,-2.3000222115384616
BiF6Mg,-2.9321617302675005
Al3Ba6F33W6,-3.1195646417556246
As4Ca4Ni4O20,-1.926935520156249
Fe8O48Si16Zn8,-2.654953732375
Mn8O48Si16Zn8,-2.718788222096
Ca12Ge12Mo8O48,-2.622936793750001
Mg4O16V8,-2.6184970517857136
Cr12O48Si12,-2.20143611
Al8O48Si12V12,-2.8961270531250007
Bi4Ge8O24,-1.8169561066666668
Ba2O8Ti3Y,-3.4143769685714283
Ca2F8Fe2,-3.4376380537099998
AlBiO3,-0.9018186377500002
Ca8Co8Mo16O56,-2.1676193877272723
BaO8Sn4,-1.8942602723076924
Mg2Mn2O14P4,-2.797739142635974
Mg2Ni2O14P4,-2.5633499639123376
Mg2O10W4,-2.021544580781251
O8SnW2Y,-2.4286369145833326
Mn2O14P4Zn2,-2.4976785239996104
Bi12Mg6O24,-1.877250712619048
Mg8O48Si16Sn8,-2.8769962931250013
Mg4O12Sb2W2,-2.2921615467500005
Co4O28Si8Zn6,-2.3716530229347828
Ca2Cr2O14P4,-2.886157671866883
Ca4O12Sb2W2,-2.53724795825
CaMn2Nd2O12Ti2,-3.0719339090922815
Fe4Ge8O24,-1.8016079966666665
N4Te2,1.0770161467466677
Fe8Mg12O48Si12,-2.85056324625
Ba4F28Mo4Zn4,-3.1931447968330002
As8O32Sn6Zn6,-1.6845645348076923
Cr6O26P6,-2.4061811098778194
Ba4F28Mg4W4,-3.4350933043330003
Ge4O12Sn2Zn2,-1.8936680957500005
AlBa2O8W3,-1.9734113542857141
CrF5,-2.011311900158333
BiCaF6,-3.0882361887050003
Al4O28Sb2Si2V13,-2.462851380102041
Bi8O48Si12Zn12,-2.176398233625
Ni8O48Si16Zn8,-2.4753719361250006
Cr8Mg8O48Si16,-2.994395454375
Mg2O14P4V2,-2.780918293457792
Al2Bi2O6,-1.702696718749999
O12Ti4Y4,-3.626251673083334
Ca4Fe4O12,-2.34046201325
Ge8O24Ti4,-2.540950322685186
Ca4O8W4,-1.7198793931250007
Ca2O14Ti10,-3.0632266676602566
Mg2Mn4S8,-1.1270309023214284
Ca2Fe2O14P4,-2.8399907236850637
Ca2O14P4V2,-2.892017510048701
Ca8Cr16O32,-2.4773046325
AlO8VW2,-2.3303789758333324
Al2Ca4Cu2O10,-2.7014758390277773
Ca2O12Si4Ti2,-3.174199317166667
Ni2O12W2Zn4,-1.71433989425
